"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0019783","ubiquitin-like protein-specific protease activity","3/25","125/18368",0.000634271197466947,0.0204484999284196,0.0126415120693655,"PSMD14/SENP5/USP17L20",3
"MF","GO:0008242","omega peptidase activity","3/25","126/18368",0.000649158727886337,0.0204484999284196,0.0126415120693655,"PSMD14/USP17L20/GGT3P",3
"MF","GO:0008234","cysteine-type peptidase activity","3/25","190/18368",0.00211888914330585,0.0444966720094228,0.0275083853692338,"PSMD14/SENP5/USP17L20",3
