"hgnc_symbol","ensembl_peptide_id"
"COLEC12","ENSP00000383115"
"CFAP298","ENSP00000411306"
"CFAP298","ENSP00000290155"
"CFAP298","ENSP00000411467"
"CFAP298","ENSP00000371989"
"CFAP298","ENSP00000407362"
"CFAP298","ENSP00000300260"
"CFAP298","ENSP00000393104"
"BTG3","ENSP00000344609"
"BTG3","ENSP00000284879"
"BTG3","ENSP00000413799"
"ADIPOR2","ENSP00000495699"
"CARMIL3","ENSP00000493710"
"DIAPH3","ENSP00000383178"
"DIAPH3","ENSP00000367141"
"DIAPH3","ENSP00000383173"
"DIAPH3","ENSP00000383174"
"DIAPH3","ENSP00000267215"
"DIAPH3","ENSP00000478137"
"DIAPH3","ENSP00000479091"
"CACNA2D4","ENSP00000493870"
"CACNA2D4","ENSP00000495256"
"CACNA2D4","ENSP00000494451"
"CACNA2D4","ENSP00000494913"
"CACNA2D4","ENSP00000496774"
"CACNA2D4","ENSP00000494474"
"CACNA2D4","ENSP00000493907"
"CACNA2D4","ENSP00000493490"
"CACNA2D4","ENSP00000494302"
"CACNA2D4","ENSP00000496204"
"CACNA2D4","ENSP00000494395"
"CACNA2D4","ENSP00000494565"
"CACNA2D4","ENSP00000495851"
"CACNA2D4","ENSP00000496164"
"AGPAT3","ENSP00000291572"
"AGPAT3","ENSP00000389318"
"AGPAT3","ENSP00000381138"
"AGPAT3","ENSP00000332989"
"AGPAT3","ENSP00000412079"
"AGPAT3","ENSP00000381140"
"AGPAT3","ENSP00000381135"
"AGPAT3","ENSP00000413906"
"AGPAT3","ENSP00000394102"
"AGPAT3","ENSP00000414440"
"AGPAT3","ENSP00000443510"
"CELF4","ENSP00000465348"
"CELF4","ENSP00000468256"
"CELF4","ENSP00000335631"
"CELF4","ENSP00000464917"
"CELF4","ENSP00000468428"
"CELF4","ENSP00000469627"
"CELF4","ENSP00000355089"
"CELF4","ENSP00000474788"
"CELF4","ENSP00000471616"
"CELF4","ENSP00000464794"
"CELF4","ENSP00000464996"
"CELF4","ENSP00000465125"
"CELF4","ENSP00000468109"
"CELF4","ENSP00000467056"
"CELF4","ENSP00000470649"
"CELF4","ENSP00000467732"
"CELF4","ENSP00000465211"
"CELF4","ENSP00000467571"
"CELF4","ENSP00000410584"
"COG3","ENSP00000258654"
"COG3","ENSP00000481332"
"COG3","ENSP00000482221"
"COG3","ENSP00000477882"
"CACNA1C","ENSP00000518352"
"CACNA1C","ENSP00000518353"
"CACNA1C","ENSP00000518362"
"CACNA1C","ENSP00000518363"
"CACNA1C","ENSP00000518364"
"CACNA1C","ENSP00000518365"
"CACNA1C","ENSP00000493743"
"CACNA1C","ENSP00000518304"
"CACNA1C","ENSP00000494109"
"CACNA1C","ENSP00000494095"
"CACNA1C","ENSP00000494058"
"CACNA1C","ENSP00000494765"
"CACNA1C","ENSP00000493781"
"CACNA1C","ENSP00000495321"
"CACNA1C","ENSP00000518366"
"CACNA1C","ENSP00000494149"
"CACNA1C","ENSP00000500406"
"CACNA1C","ENSP00000518305"
"CACNA1C","ENSP00000496400"
"CACNA1C","ENSP00000518367"
"CACNA1C","ENSP00000494999"
"CACNA1C","ENSP00000496049"
"CACNA1C","ENSP00000496458"
"CACNA1C","ENSP00000495576"
"CACNA1C","ENSP00000494782"
"CACNA1C","ENSP00000496749"
"CACNA1C","ENSP00000494420"
"CACNA1C","ENSP00000496681"
"CACNA1C","ENSP00000494018"
"CACNA1C","ENSP00000493890"
"CACNA1C","ENSP00000493573"
"CACNA1C","ENSP00000495080"
"CACNA1C","ENSP00000495678"
"CACNA1C","ENSP00000518307"
"CACNA1C","ENSP00000518368"
"CACNA1C","ENSP00000518370"
"CACNA1C","ENSP00000495307"
"EMC9","ENSP00000493482"
"EMC9","ENSP00000494976"
"EMC9","ENSP00000495623"
"EMC9","ENSP00000496357"
"DYRK1A","ENSP00000495632"
"DYRK1A","ENSP00000496748"
"DYRK1A","ENSP00000494572"
"DYRK1A","ENSP00000495571"
"DYRK1A","ENSP00000494544"
"DYRK1A","ENSP00000342690"
"DYRK1A","ENSP00000493627"
"DYRK1A","ENSP00000494698"
"DYRK1A","ENSP00000412269"
"DYRK1A","ENSP00000381932"
"DYRK1A","ENSP00000495908"
"DYRK1A","ENSP00000398483"
"DYRK1A","ENSP00000493653"
"DYRK1A","ENSP00000494897"
"DYRK1A","ENSP00000495596"
"DYRK1A","ENSP00000494536"
"DYRK1A","ENSP00000381929"
"AKAIN1","ENSP00000462259"
"AKAIN1","ENSP00000399075"
"CDADC1","ENSP00000251108"
"CDADC1","ENSP00000434135"
"CDADC1","ENSP00000434986"
"CDADC1","ENSP00000389571"
"CCT8L2","ENSP00000353048"
"COG6","ENSP00000403733"
"COG6","ENSP00000441297"
"COG6","ENSP00000440438"
"COG6","ENSP00000440473"
"COG6","ENSP00000397441"
"COG6","ENSP00000348983"
"COG6","ENSP00000445217"
"COG6","ENSP00000486051"
"ANKRD12","ENSP00000464422"
"ANKRD12","ENSP00000262126"
"ANKRD12","ENSP00000462312"
"ANKRD12","ENSP00000462659"
"ANKRD12","ENSP00000382897"
"ANKRD12","ENSP00000441510"
"ANKRD12","ENSP00000352073"
"CBS","ENSP00000381225"
"CBS","ENSP00000381231"
"CBS","ENSP00000352643"
"CBS","ENSP00000344460"
"CBS","ENSP00000402823"
"CBS","ENSP00000408014"
"CBS","ENSP00000405929"
"CBS","ENSP00000388235"
"CTAGE1","ENSP00000436900"
"CTAGE1","ENSP00000375220"
"CRYAA","ENSP00000291554"
"CRYAA","ENSP00000381201"
"CRYAA","ENSP00000381200"
"ANKRD10","ENSP00000267339"
"ANKRD10","ENSP00000474638"
"ANKRD10","ENSP00000312534"
"ANKRD10","ENSP00000431927"
"CACNA1I","ENSP00000385680"
"CACNA1I","ENSP00000383887"
"CACNA1I","ENSP00000384093"
"CACNA1I","ENSP00000385019"
"CCDC68","ENSP00000466690"
"CCDC68","ENSP00000466731"
"CCDC68","ENSP00000337209"
"CCDC68","ENSP00000413406"
"COL18A1","ENSP00000498485"
"COL18A1","ENSP00000347665"
"COL18A1","ENSP00000352798"
"COL18A1","ENSP00000339118"
"COL18A1","ENSP00000415692"
"CNOT10","ENSP00000516964"
"CNOT10","ENSP00000516965"
"CNOT10","ENSP00000516966"
"CNOT10","ENSP00000516967"
"CNOT10","ENSP00000516968"
"CNOT10","ENSP00000516969"
"CNOT10","ENSP00000516970"
"CBX7","ENSP00000216133"
"CBX7","ENSP00000384035"
"CBX7","ENSP00000410896"
"CTIF","ENSP00000256413"
"CTIF","ENSP00000372459"
"CTIF","ENSP00000467965"
"CTIF","ENSP00000467425"
"CTIF","ENSP00000465405"
"CTIF","ENSP00000467957"
"EFCAB6","ENSP00000379533"
"EFCAB6","ENSP00000262726"
"EFCAB6","ENSP00000348391"
"ADRA1D","ENSP00000368766"
"ADAMTS1","ENSP00000284984"
"ADAMTS1","ENSP00000429557"
"ADAMTS1","ENSP00000503862"
"ADAMTS1","ENSP00000503982"
"ADAMTS1","ENSP00000503777"
"ADAMTS1","ENSP00000403404"
"ADAMTS1","ENSP00000504463"
"BMP2","ENSP00000368104"
"BOD1L2","ENSP00000467843"
"CDH7","ENSP00000319166"
"CDH7","ENSP00000443030"
"CDH7","ENSP00000381058"
"BTBD3","ENSP00000254977"
"BTBD3","ENSP00000381971"
"BTBD3","ENSP00000384545"
"BTBD3","ENSP00000410502"
"BTBD3","ENSP00000404268"
"BTBD3","ENSP00000397809"
"BTBD3","ENSP00000408817"
"BTBD3","ENSP00000404582"
"BTBD3","ENSP00000367471"
"BTBD3","ENSP00000483520"
"BTBD3","ENSP00000477589"
"DHRS1","ENSP00000496132"
"DHRS1","ENSP00000493735"
"DHRS1","ENSP00000496300"
"CLIC6","ENSP00000290332"
"CLIC6","ENSP00000353959"
"ADCY4","ENSP00000494032"
"ADCY4","ENSP00000494454"
"ADCY4","ENSP00000494977"
"ADCY4","ENSP00000495316"
"ADCY4","ENSP00000494902"
"ADCY4","ENSP00000495865"
"ADCY4","ENSP00000495727"
"ADCY4","ENSP00000495227"
"CDH20","ENSP00000262717"
"CDH20","ENSP00000442226"
"CDH20","ENSP00000444767"
"CST7","ENSP00000420384"
"CLDN7","ENSP00000500298"
"CLDN7","ENSP00000500433"
"CLDN7","ENSP00000500460"
"CLDN7","ENSP00000500589"
"CLDN7","ENSP00000500938"
"CLDN7","ENSP00000499854"
"CLDN7","ENSP00000500457"
"APMAP","ENSP00000395874"
"APMAP","ENSP00000217456"
"BFSP1","ENSP00000367104"
"BFSP1","ENSP00000367099"
"BFSP1","ENSP00000442522"
"BRWD1","ENSP00000330753"
"BRWD1","ENSP00000344333"
"BRWD1","ENSP00000391014"
"BRWD1","ENSP00000370178"
"BRWD1","ENSP00000415066"
"BRWD1","ENSP00000393702"
"BRWD1","ENSP00000390684"
"BRWD1","ENSP00000395575"
"BRWD1","ENSP00000398900"
"BRWD1","ENSP00000389882"
"BRWD1","ENSP00000342106"
"DSTN","ENSP00000246069"
"DSTN","ENSP00000476975"
"DSTN","ENSP00000434355"
"CDH19","ENSP00000262150"
"CDH19","ENSP00000463085"
"CDH19","ENSP00000439593"
"CDH19","ENSP00000401998"
"CDH19","ENSP00000464477"
"DENND6B","ENSP00000391524"
"DENND6B","ENSP00000414072"
"C18orf21","ENSP00000465517"
"C18orf21","ENSP00000269194"
"C18orf21","ENSP00000466400"
"C18orf21","ENSP00000329492"
"C18orf21","ENSP00000480486"
"C18orf21","ENSP00000483334"
"CERK","ENSP00000216264"
"CERK","ENSP00000400859"
"ACAP1","ENSP00000499859"
"ACAP1","ENSP00000500874"
"ACAP1","ENSP00000500089"
"DHRS4","ENSP00000518354"
"DHRS4","ENSP00000518355"
"DHRS4","ENSP00000495517"
"DHRS4","ENSP00000496349"
"DHRS4","ENSP00000495868"
"DHRS4","ENSP00000495877"
"DHRS4","ENSP00000496426"
"DHRS4","ENSP00000495018"
"CBLN2","ENSP00000463771"
"CBLN2","ENSP00000269503"
"CBLN2","ENSP00000464490"
"CBLN2","ENSP00000462632"
"ALG12","ENSP00000333813"
"ALG12","ENSP00000420630"
"ALG12","ENSP00000417387"
"DSCAM","ENSP00000383303"
"DSCAM","ENSP00000478698"
"DSCAM","ENSP00000385342"
"BIVM","ENSP00000498968"
"BIVM","ENSP00000498638"
"BIVM","ENSP00000257336"
"BIVM","ENSP00000498585"
"BIVM","ENSP00000498508"
"BIVM","ENSP00000412794"
"BIVM","ENSP00000498297"
"BIVM","ENSP00000499207"
"BIVM","ENSP00000498493"
"BIVM","ENSP00000498252"
"BIVM","ENSP00000498544"
"BACE2","ENSP00000333854"
"BACE2","ENSP00000327528"
"BACE2","ENSP00000332979"
"ANKRD54","ENSP00000215941"
"ANKRD54","ENSP00000384392"
"ANKRD54","ENSP00000477088"
"ANKRD54","ENSP00000405782"
"ANKRD54","ENSP00000412534"
"ANKRD54","ENSP00000385180"
"ANKRD54","ENSP00000391744"
"ANKRD54","ENSP00000393035"
"ANKRD54","ENSP00000387507"
"ABCG1","ENSP00000381475"
"ABCG1","ENSP00000291524"
"ABCG1","ENSP00000414541"
"ABCG1","ENSP00000354995"
"ABCG1","ENSP00000381467"
"ABCG1","ENSP00000339744"
"ABCG1","ENSP00000381464"
"CHST9","ENSP00000480991"
"CHST9","ENSP00000462852"
"CHST9","ENSP00000464655"
"DGKH","ENSP00000337572"
"DGKH","ENSP00000261491"
"DGKH","ENSP00000482250"
"DGKH","ENSP00000485809"
"DGKH","ENSP00000486838"
"DGKH","ENSP00000486329"
"DGKH","ENSP00000445114"
"DGKH","ENSP00000368576"
"DHX35","ENSP00000362422"
"DHX35","ENSP00000252011"
"DHX35","ENSP00000362420"
"DHX35","ENSP00000498405"
"DHX35","ENSP00000432603"
"DHX35","ENSP00000397997"
"ELP2","ENSP00000440426"
"ELP2","ENSP00000350967"
"ELP2","ENSP00000440516"
"ELP2","ENSP00000257191"
"ELP2","ENSP00000438533"
"ELP2","ENSP00000414851"
"ELP2","ENSP00000391202"
"ELP2","ENSP00000443555"
"ELP2","ENSP00000440774"
"ELP2","ENSP00000316051"
"ELP2","ENSP00000443800"
"ELP2","ENSP00000468091"
"ELP2","ENSP00000440651"
"ASPHD2","ENSP00000215906"
"ABHD13","ENSP00000365063"
"DYRK1B","ENSP00000486377"
"DYRK1B","ENSP00000485915"
"DYRK1B","ENSP00000486839"
"DYRK1B","ENSP00000487313"
"DYRK1B","ENSP00000487539"
"DYRK1B","ENSP00000486913"
"DYRK1B","ENSP00000486264"
"C1QTNF6","ENSP00000338812"
"C1QTNF6","ENSP00000380299"
"C1QTNF6","ENSP00000399243"
"ELMO2","ENSP00000290246"
"ELMO2","ENSP00000431972"
"ELMO2","ENSP00000361249"
"ELMO2","ENSP00000414329"
"ELMO2","ENSP00000326172"
"ELMO2","ENSP00000388962"
"ELMO2","ENSP00000416181"
"ELMO2","ENSP00000379673"
"CTTN","ENSP00000500927"
"CTTN","ENSP00000500756"
"CTTN","ENSP00000499998"
"CTTN","ENSP00000500324"
"CTTN","ENSP00000500234"
"ADORA2A","ENSP00000404497"
"ADORA2A","ENSP00000483102"
"ADORA2A","ENSP00000473799"
"ADORA2A","ENSP00000474895"
"ADORA2A","ENSP00000414802"
"ADORA2A","ENSP00000474097"
"ADORA2A","ENSP00000336630"
"ADORA2A","ENSP00000475000"
"ADORA2A","ENSP00000480012"
"ADORA2A","ENSP00000481552"
"ADORA2A","ENSP00000397071"
"ADORA2A","ENSP00000400190"
"CDH22","ENSP00000437790"
"ANOS1","ENSP00000262648"
"EPSTI1","ENSP00000318982"
"EPSTI1","ENSP00000318643"
"EPSTI1","ENSP00000381746"
"EPSTI1","ENSP00000442662"
"EPSTI1","ENSP00000444923"
"CASP8AP2","ENSP00000518371"
"CASP8AP2","ENSP00000518847"
"CASP8AP2","ENSP00000518372"
"CARS2","ENSP00000257347"
"CARS2","ENSP00000438267"
"CARS2","ENSP00000480523"
"CARS2","ENSP00000443027"
"CARS2","ENSP00000440420"
"CARS2","ENSP00000444655"
"CARS2","ENSP00000437962"
"CNKSR2","ENSP00000495189"
"CNKSR2","ENSP00000496709"
"CNKSR2","ENSP00000494416"
"CNKSR2","ENSP00000397906"
"CNKSR2","ENSP00000494983"
"CNKSR2","ENSP00000444633"
"CNKSR2","ENSP00000496186"
"CNKSR2","ENSP00000279451"
"CNKSR2","ENSP00000495695"
"CNKSR2","ENSP00000495954"
"CNKSR2","ENSP00000495501"
"CNKSR2","ENSP00000496573"
"CNKSR2","ENSP00000368824"
"CNKSR2","ENSP00000494906"
"CNKSR2","ENSP00000496088"
"CNKSR2","ENSP00000495012"
"CNKSR2","ENSP00000495325"
"CNKSR2","ENSP00000494115"
"CNKSR2","ENSP00000494962"
"DNMT3L","ENSP00000486001"
"DNMT3L","ENSP00000270172"
"DNMT3L","ENSP00000400242"
"CBLN4","ENSP00000064571"
"AIRE","ENSP00000291582"
"ATP9A","ENSP00000309086"
"ATP9A","ENSP00000342481"
"CNDP2","ENSP00000464151"
"CNDP2","ENSP00000325548"
"CNDP2","ENSP00000464214"
"CNDP2","ENSP00000462311"
"CNDP2","ENSP00000463314"
"CNDP2","ENSP00000464319"
"CNDP2","ENSP00000463702"
"CNDP2","ENSP00000463816"
"CNDP2","ENSP00000464122"
"CNDP2","ENSP00000464014"
"CNDP2","ENSP00000462673"
"CNDP2","ENSP00000462626"
"CNDP2","ENSP00000463182"
"CNDP2","ENSP00000463222"
"CNDP2","ENSP00000325756"
"CNDP2","ENSP00000482227"
"CNDP2","ENSP00000461941"
"CNDP2","ENSP00000479635"
"CNDP2","ENSP00000462034"
"AKR1C3","ENSP00000474188"
"AKR1C3","ENSP00000401327"
"AKR1C3","ENSP00000474882"
"AKR1C3","ENSP00000369927"
"CFAP61","ENSP00000345553"
"CFAP61","ENSP00000245957"
"CFAP61","ENSP00000501498"
"CFAP61","ENSP00000366521"
"CFAP61","ENSP00000420438"
"CFAP61","ENSP00000366518"
"CFAP61","ENSP00000417086"
"CFAP61","ENSP00000420498"
"CFAP61","ENSP00000397311"
"CFAP61","ENSP00000388074"
"CFAP61","ENSP00000501383"
"CFAP61","ENSP00000366508"
"CFAP61","ENSP00000366523"
"CFAP61","ENSP00000414537"
"CFAP61","ENSP00000374307"
"ADARB2","ENSP00000370713"
"ADARB2","ENSP00000370711"
"ADARB2","ENSP00000370706"
"CNDP1","ENSP00000351682"
"CNDP1","ENSP00000462096"
"CNDP1","ENSP00000463807"
"CFAP410","ENSP00000344566"
"CFAP410","ENSP00000381047"
"CFAP410","ENSP00000317302"
"CNTLN","ENSP00000370021"
"CNTLN","ENSP00000370015"
"DMRTA1","ENSP00000319651"
"DOK6","ENSP00000372160"
"DOK6","ENSP00000462984"
"EGR3","ENSP00000318057"
"EGR3","ENSP00000430310"
"EGR3","ENSP00000429370"
"DGCR6","ENSP00000402409"
"DGCR6","ENSP00000331681"
"DGCR6","ENSP00000467483"
"DGCR6","ENSP00000397633"
"DGCR6","ENSP00000476388"
"DGCR6","ENSP00000466276"
"EBF2","ENSP00000430241"
"EBF2","ENSP00000386178"
"EBF2","ENSP00000437909"
"ERICH1","ENSP00000428635"
"ERICH1","ENSP00000430296"
"ERICH1","ENSP00000262109"
"ERICH1","ENSP00000428556"
"ADGRG2","ENSP00000369202"
"ADGRG2","ENSP00000350680"
"ADGRG2","ENSP00000350152"
"ADGRG2","ENSP00000369198"
"ADGRG2","ENSP00000353421"
"ADGRG2","ENSP00000349015"
"ADGRG2","ENSP00000344972"
"ADGRG2","ENSP00000369205"
"ADGRG2","ENSP00000369207"
"ADGRG2","ENSP00000346845"
"DNAL4","ENSP00000216068"
"DNAL4","ENSP00000385712"
"CBX6","ENSP00000384490"
"CBX6","ENSP00000216083"
"CCDC3","ENSP00000368102"
"CCDC3","ENSP00000368116"
"ENTPD6","ENSP00000347084"
"ENTPD6","ENSP00000353131"
"ENTPD6","ENSP00000365840"
"ENTPD6","ENSP00000408098"
"ENTPD6","ENSP00000390095"
"ENTPD6","ENSP00000395064"
"ENTPD6","ENSP00000401895"
"ENTPD6","ENSP00000401573"
"ENTPD6","ENSP00000398844"
"ENTPD6","ENSP00000390511"
"ENTPD6","ENSP00000390646"
"ENTPD6","ENSP00000406975"
"ENTPD6","ENSP00000365854"
"BMF","ENSP00000346697"
"BMF","ENSP00000380703"
"BMF","ENSP00000453892"
"BMF","ENSP00000453522"
"BMF","ENSP00000453913"
"BMF","ENSP00000396511"
"BMF","ENSP00000453919"
"BMF","ENSP00000454142"
"BMF","ENSP00000452660"
"APOBEC3B","ENSP00000385068"
"APOBEC3B","ENSP00000327459"
"APOBEC3B","ENSP00000385060"
"APOBEC3B","ENSP00000338897"
"APTX","ENSP00000500396"
"APTX","ENSP00000500320"
"APTX","ENSP00000499875"
"APTX","ENSP00000500738"
"APTX","ENSP00000500360"
"APTX","ENSP00000369153"
"APTX","ENSP00000417634"
"APTX","ENSP00000380357"
"APTX","ENSP00000369145"
"APTX","ENSP00000400806"
"APTX","ENSP00000419430"
"APTX","ENSP00000417804"
"APTX","ENSP00000420071"
"APTX","ENSP00000418733"
"APTX","ENSP00000500943"
"APTX","ENSP00000419723"
"APTX","ENSP00000419289"
"APTX","ENSP00000499997"
"APTX","ENSP00000418144"
"APTX","ENSP00000499991"
"APTX","ENSP00000418311"
"APTX","ENSP00000311547"
"APTX","ENSP00000369147"
"APTX","ENSP00000500601"
"APTX","ENSP00000417750"
"APTX","ENSP00000419846"
"APTX","ENSP00000499872"
"APTX","ENSP00000419042"
"APTX","ENSP00000419623"
"APTX","ENSP00000420263"
"APTX","ENSP00000417649"
"APTX","ENSP00000500871"
"APTX","ENSP00000418069"
"APTX","ENSP00000419597"
"APTX","ENSP00000417684"
"APTX","ENSP00000369141"
"ACBD7","ENSP00000367453"
"APOBEC3C","ENSP00000355340"
"APOBEC3C","ENSP00000390855"
"APOBEC3G","ENSP00000385057"
"C14orf39","ENSP00000451937"
"C14orf39","ENSP00000324920"
"C14orf39","ENSP00000450476"
"C14orf39","ENSP00000451665"
"C14orf39","ENSP00000451441"
"C15orf62","ENSP00000341178"
"CCDC33","ENSP00000500951"
"CCDC33","ENSP00000500783"
"CCDC33","ENSP00000500071"
"CCDC33","ENSP00000500223"
"CCDC33","ENSP00000500591"
"CCDC33","ENSP00000500272"
"CUBN","ENSP00000367064"
"CUBN","ENSP00000415970"
"CYP11A1","ENSP00000499849"
"CYP11A1","ENSP00000500767"
"CYP11A1","ENSP00000500401"
"CYP11A1","ENSP00000500857"
"CYP11A1","ENSP00000500308"
"CYP11A1","ENSP00000500644"
"CYP11A1","ENSP00000500435"
"DSG4","ENSP00000311859"
"DSG4","ENSP00000352785"
"ATP6V1E1","ENSP00000253413"
"ATP6V1E1","ENSP00000382694"
"ATP6V1E1","ENSP00000382696"
"ATP6V1E1","ENSP00000398932"
"CCDC175","ENSP00000453940"
"CCDC175","ENSP00000452964"
"CCDC70","ENSP00000242819"
"CST3","ENSP00000381448"
"CST3","ENSP00000366124"
"CST3","ENSP00000381446"
"CDH2","ENSP00000502696"
"CDH2","ENSP00000502061"
"CDH2","ENSP00000269141"
"CDH2","ENSP00000382312"
"CDH2","ENSP00000502206"
"CDH2","ENSP00000501654"
"CDH2","ENSP00000412120"
"CDH2","ENSP00000414269"
"CDH2","ENSP00000411360"
"CCDC40","ENSP00000516971"
"CCDC40","ENSP00000516972"
"CCDC40","ENSP00000516973"
"CCDC40","ENSP00000516974"
"CCDC40","ENSP00000516975"
"CCDC40","ENSP00000516976"
"CCDC40","ENSP00000516977"
"CCDC40","ENSP00000516978"
"BCL2L13","ENSP00000382682"
"BCL2L13","ENSP00000338932"
"BCL2L13","ENSP00000410019"
"BCL2L13","ENSP00000441344"
"BCL2L13","ENSP00000437667"
"BCL2L13","ENSP00000477967"
"BCL2L13","ENSP00000480014"
"BCL2L13","ENSP00000480836"
"BCL2L13","ENSP00000436321"
"BCL2L13","ENSP00000318883"
"BCL2L13","ENSP00000434764"
"BCL2L13","ENSP00000347133"
"BCL2L13","ENSP00000382677"
"DPYSL2","ENSP00000427985"
"DPYSL2","ENSP00000427954"
